product_name,description,price,category,stock,image
Coffee Maker,"A compact drip coffee maker, perfect for small kitchens.",600,Home Appliances,200,https://www.suranasons.in/cdn/shop/files/61x2BKrHBKL._SL1000.jpg?v=1736500986
Bluetooth Headphones,High-fidelity sound with noise-cancellation and a long-lasting battery.,129.99,Electronics,150,https://shop.zebronics.com/cdn/shop/files/Zeb-Thunder-pic2.jpg?v=1702966217&width=1200
Smartwatch,"Track your fitness, heart rate, and notifications on the go.",199.5,Electronics,75,https://conekt.in/wp-content/uploads/2023/12/Conekt-SW1-Pro-Smart-Watch-Black.jpg
Wireless Charger,A sleek wireless charging pad for all your compatible devices.,29.99,Electronics,300,https://m.media-amazon.com/images/I/61rsvJSlQ-L.jpg
Portable Bluetooth Speaker,"Powerful sound in a compact, water-resistant design.",89,Electronics,120,https://media.tatacroma.com/Croma%20Assets/Entertainment/Speakers%20and%20Media%20Players/Images/251614_0_ghxuff.png
Laptop Stand,Ergonomic aluminum laptop stand to improve posture.,45.99,Electronics,250,https://m.media-amazon.com/images/I/71cOnHXOg9L.jpg
Espresso Machine,Brew barista-quality espresso at home with this compact machine.,250,Home Appliances,50,"https://m.media-amazon.com/images/I/71duCIUwKML._UF350,350_QL80_.jpg"
Toaster Oven,"Multifunctional toaster oven for baking, broiling, and toasting.",85,Home Appliances,100,https://m.media-amazon.com/images/I/712ViF5gIwL.jpg
Air Fryer,Cook your favorite fried foods with little to no oil.,79.99,Home Appliances,180,https://geepas.co.uk/cdn/shop/files/GAF37530UK7.5LDigitalAirFryer_02_Hero_1080x.jpg?v=1737473011
Hand Mixer,A powerful hand mixer with multiple speed settings and attachments.,34.5,Home Appliances,220,https://www.rasoishop.com/cdn/shop/files/8901309226370.jpg?v=1701853263&width=533
Blender,"Heavy-duty blender for smoothies, shakes, and crushed ice.",99,Home Appliances,90,"https://m.media-amazon.com/images/I/71QmDrbcfXL._UF894,1000_QL80_.jpg"
Yoga Mat,Non-slip yoga mat with a carrying strap for easy transport.,24.99,Fitness & Outdoors,400,https://nwscdn.com/media/catalog/product/cache/h900xw900/s/w/swatch-main_1.jpg
Dumbbell Set,Adjustable dumbbell set for a full-body workout at home.,75,Fitness & Outdoors,60,https://i.etsystatic.com/10454564/r/il/c81979/3592363003/il_570xN.3592363003_fhrt.jpg
Running Shoes,Lightweight and breathable running shoes for men and women.,89.99,Fitness & Outdoors,150,"https://hips.hearstapps.com/hmg-prod/images/mhl-opener-run-shoes-311-67edd9f20e75a.jpg?crop=0.655xw:0.983xh;0.168xw,0&resize=1120:*"
Hiking Backpack,Spacious hiking backpack with multiple compartments and a rain cover.,55,Fitness & Outdoors,80,https://cdn.shopify.com/s/files/1/1567/9395/files/Hiking-Gear.jpg?v=1629535821
